user_id,cf_tau2_mean,n,rank
77042,39.313269384962304,2,782
994892,38.749723569621324,2,783
528935,37.994229744067546,3,784
739255,36.30878097588783,3,785
54835,35.18042193056976,3,786
841511,33.815840668164384,4,787
734607,33.01934262911637,4,788
480126,32.092005630021475,4,789
195568,31.2514354674393,2,790
622965,31.121992932900863,2,791
84017,31.121984751161765,2,792
37407,28.794087901406378,5,793
139574,26.75732316845159,2,794
132693,23.6876855344783,7,795
432397,18.600859568227516,3,796
825372,17.787917072048554,2,797
847447,17.490174532488616,2,798
806653,16.808537842576285,4,799
683478,14.940179918169786,5,800
413897,13.525900032864381,2,801
317447,12.56488346159013,2,802
279102,12.36394213065858,3,803
36370,11.754415169044226,5,804
940191,10.530295116921142,2,805
865914,10.331093946325428,2,806
548685,10.300836908981863,2,807
984348,10.284710490720046,2,808
16490,10.280722869075342,2,809
587034,10.223675035546057,2,810
671856,9.996418836233687,2,811
948542,9.627009048120243,2,812
561380,9.592736080147597,2,813
517224,9.510175905940637,2,814
628994,9.347487106179594,2,815
10811,9.263056939238082,2,816
133764,9.201206825957582,2,817
900770,9.104910092270028,2,818
789351,9.089337152754242,2,819
194402,9.088686045913136,2,820
110614,9.007711100341751,2,821
123521,9.00676359935672,2,822
684770,8.902042155065402,2,823
474319,8.889890783802944,2,824
856745,8.882028255183517,2,825
719498,8.811870520194123,2,826
633510,8.744768587500127,2,827
986891,8.716164792049181,2,828
521871,8.704894274310018,2,829
756810,8.692335622522876,2,830
459213,8.639380964753055,2,831
1513,8.233473472902869,2,832
797266,8.208281917236977,2,833
95509,7.976198405227963,2,834
295370,7.859917581997728,2,835
653394,7.742232540301267,2,836
950741,7.699955114440224,2,837
611432,7.302103542899835,2,838
433559,7.295332833290834,2,839
425514,6.785655537790883,3,840
908907,6.535899767147993,3,841
294334,6.492902670205925,2,842
906585,6.4593617696180985,4,843
742867,6.34781809237506,3,844
686876,6.289724824365349,2,845
258312,6.284864279553422,2,846
67618,6.176902637198023,2,847
360445,6.174701807243092,2,848
180330,6.173448621019794,2,849
843961,6.173435700868115,2,850
85176,6.142627420281966,2,851
996054,6.058949928679674,3,852
290852,6.017103246635607,3,853
743813,5.850436909359858,3,854
477932,5.712723297692392,3,855
893802,5.664840909582157,2,856
628866,5.504663998682456,2,857
87375,5.4945245235749836,2,858
721951,5.447558730126404,2,859
810266,5.440732469697052,2,860
646424,5.279806610939848,2,861
691610,5.209244047434659,2,862
724276,5.185800052448332,2,863
448884,5.070704259774955,2,864
683476,4.9924058500794946,2,865
