feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
movie,0.23249000920394483,205,0,0.002860359334487996,-0.004427220912973285,0.004427220912973285,-1,0.014487566912042768,0.010060345999069483,0.5475285171102661,111
artstation concept,4.707938864720941,52,0,0.0015247343203308107,-0.0016221879410025005,0.0016221879410025005,-1,0.009731677934635799,0.008109489993633298,0.541191381495564,112
out,1.360672424417887,121,0,0.0016185906234603635,-0.0030240726413432485,0.0030240726413432485,-1,0.008255659713405552,0.005231587072062303,0.541191381495564,113
rutkowski and,10.599709487367377,25,0,0.0031212039094728806,-5.271133334732586e-05,5.271133334732586e-05,-1,0.00837946759043949,0.008326756257092165,0.5361216730038023,114
hyper detailed,5.998949233528702e-05,263,0,0.003555822597357392,0.0055375270229029595,0.0055375270229029595,1,0.0032180091918849727,0.008755536214787932,0.5335868187579215,115
rendered,0.9540268360549491,140,0,0.0013760834243634699,0.0034691180762995663,0.0034691180762995663,1,0.003190422777634027,0.006659540853933593,0.532319391634981,116
color,1.9900598393797848,103,0,0.002504010210147594,-0.0017731411645173969,0.0017731411645173969,-1,0.013504963543215348,0.01173182237869795,0.5310519645120405,117
body,6.495088877722998,41,0,0.0006381194876668608,-0.0023302713540295783,0.0023302713540295783,-1,0.011958379601011131,0.009628108246981553,0.5310519645120405,118
fantasy,0.1339993370767332,215,0,0.0023674157811009434,0.005017717132236577,0.005017717132236577,1,0.01634130938174121,0.021359026513977787,0.5297845373891001,119
painting artstation,3.2105921372931956,75,0,0.0014867208805513534,-0.0018343924113791632,0.0018343924113791632,-1,0.008229225922597505,0.006394833511218342,0.5297845373891,120
and alphonse,12.260490218624865,17,1,0.0017519182896938705,0.0005905439426812627,0.0005905439426812627,1,0.006178860550189013,0.0067694044928702755,0.5272496831432193,121
art smooth,6.097575096834156,44,0,0.00039728179285099843,-0.002712416481248068,0.002712416481248068,-1,0.007107041077788911,0.004394624596540843,0.5259822560202788,122
hair,15.612563176146255,7,1,0.0018894357553530413,0.00023779657034582458,0.00023779657034582458,1,0.013724863592117591,0.013962660162463416,0.5259822560202788,123
white,2.7430693423150587,82,0,0.0007449788137848119,0.002781318822701804,0.002781318822701804,1,0.016235267994782764,0.019016586817484568,0.5221799746514576,124
girl,3.011543974071604,79,0,0.0021297863712625925,-0.0014911525076607528,0.0014911525076607528,-1,0.013190470275384883,0.01169931776772413,0.5209125475285171,125
style,5.617421634425533,46,0,0.0019832490633043946,0.000935616914199907,0.000935616914199907,1,0.02701627989832576,0.02795189681252567,0.5196451204055766,126
photography,1.239182213600802,124,0,0.0006267492045381445,-0.0040350080048244235,0.0040350080048244235,-1,0.013420451469245807,0.009385443464421384,0.5183776932826363,127
high,1.2442363787588053,123,0,0.0044430143126865645,-0.0011705162787057875,0.0011705162787057875,-1,0.023046745091174832,0.021876228812469044,0.5183776932826363,128
old,0.00910829316421368,247,0,0.0025936175281360396,0.005319239970202159,0.005319239970202159,1,0.0037171619436838924,0.009036401913886051,0.514575411913815,129
resolution,0.6339973019479127,155,0,0.0020366675871957276,-0.003106714724120642,0.003106714724120642,-1,0.00949494811294152,0.006388233388820878,0.5133079847908745,130
matte,0.13835502160488608,213,0,0.0023476922892074446,-0.00408293885529039,0.00408293885529039,-1,0.011817656772333636,0.0077347179170432455,0.5057034220532319,131
elegant,10.869598529797955,23,0,0.0011615994098529525,0.0008924628869947677,0.0008924628869947677,1,0.01034751203948431,0.011239974926479077,0.5031685678073511,132
like,3.636475706490936,65,0,0.0005669455713845735,0.002275113206394735,0.002275113206394735,1,0.0046628011856545476,0.006937914392049283,0.4904942965779468,133
sky,0.2593654970657445,201,0,0.0018729482135441387,0.0037934264841600895,0.0037934264841600895,1,0.003427527280814316,0.0072209537649744054,0.4892268694550063,134
close up,1.008800831959494,135,0,0.0008224489690183036,0.003346890227930513,0.003346890227930513,1,0.0047848787796488535,0.008131769007579366,0.4879594423320659,135
hyper realistic,2.178494745591608,96,0,0.000483253215228525,0.003185302180390341,0.003185302180390341,1,0.004917907251748786,0.008103209432139127,0.4866920152091255,136
eyes,2.0130364655251665,102,0,0.00247772652268382,0.0011188304359903718,0.0011188304359903718,1,0.010272469053933388,0.01139129948992376,0.4866920152091255,137
glowing,0.24072748691183576,204,0,0.0029380347371036437,0.003022188973786287,0.003022188973786287,1,0.004050142596397739,0.007072331570184026,0.4866920152091255,138
cyberpunk,0.6923316380972605,150,0,0.0011477891887388693,-0.0032194454979934187,0.0032194454979934187,-1,0.012156257723717074,0.008936812225723656,0.4841571609632446,139
craig,4.486687203001255,53,0,0.00022471561746985363,0.0025733780157588763,0.0025733780157588763,1,0.003944670165121299,0.006518048180880176,0.47782002534854245,140
elegant highly,11.858772540739686,19,1,0.0008557198497090206,-0.0006665789826756172,0.0006665789826756172,-1,0.005045515407029083,0.0043789364243534655,0.47655259822560203,141
holding,3.5734089988956117,67,0,0.0008382519292496566,-0.0016224406131662749,0.0016224406131662749,-1,0.008210041326808396,0.006587600713642121,0.476552598225602,142
ultra detailed,0.41250714983987735,174,0,0.0021769827825821606,0.002710147972179346,0.002710147972179346,1,0.003721087406842658,0.006431235379022004,0.4752851711026616,143
from,0.5642035402662446,160,0,0.004179259019775859,-0.0013305502765095095,0.0013305502765095095,-1,0.023533150183177615,0.022202599906668105,0.47401774397972113,144
skin,13.287452817591962,14,1,0.0003505372935274958,-0.0013237662807631641,0.0013237662807631641,-1,0.0060277017611682455,0.004703935480405081,0.4727503168567808,145
night,0.9905689343625873,138,0,0.00040046283927098477,-0.0038992438838571127,0.0038992438838571127,-1,0.01044720243494903,0.006547958551091918,0.47275031685678076,146
dragon,0.7694187796779389,144,0,0.0004835845799844688,-0.003849074507311031,0.003849074507311031,-1,0.006597603822603855,0.0027485293152928244,0.47021546261089986,147
painting trending,2.0407557250168327,100,0,0.0010731828241545434,0.0018722863485315985,0.0018722863485315985,1,0.002799250103940108,0.004671536452471706,0.46894803548795944,148
realism,2.3903171150920492,86,0,0.00041098504209642774,0.0026223762902948984,0.0026223762902948984,1,0.00435426469563491,0.006976640985929808,0.46768060836501907,149
by artgerm,6.327332552060331,43,0,0.001467476797114378,0.0003104947902675924,0.0003104947902675924,1,0.009009061820910215,0.009319556611177808,0.4664131812420786,150
big,0.40374819644618926,175,0,0.0015859884410317452,0.0028851268475687305,0.0028851268475687305,1,0.005843305669113038,0.008728432516681768,0.4664131812420786,151
her,4.890545396552823,51,0,0.00028607223802682,-0.002061019214238395,0.002061019214238395,-1,0.006714789950988579,0.004653770736750184,0.46514575411913817,152
unreal engine,0.004850125778156646,249,0,0.0027740782946879794,0.003594056438045147,0.003594056438045147,1,0.01122345498378403,0.014817511421829178,0.458808618504436,153
gold,0.019790009823785103,237,0,0.0022037468965996404,0.0038133510503830957,0.0038133510503830957,1,0.004842976495611959,0.008656327545995055,0.4562737642585552,154
beeple,0.10549572146459249,220,0,0.0031553100332984024,0.002648141950859062,0.002648141950859062,1,0.005081701005623585,0.007729842956482647,0.4550063371356147,155
engine,0.0025081430576812825,254,0,0.003266130528186527,0.0032944969341538923,0.0032944969341538923,1,0.011806376812645736,0.015100873746799628,0.4499366286438529,156
of field,0.5075598373490805,167,0,0.0022850228093417753,0.0019362474624616257,0.0019362474624616257,1,0.003798747444508653,0.005734994906970279,0.4486692015209126,157
photo of,1.5304751960401866,118,0,0.0005923995299059522,0.00261281271082958,0.00261281271082958,1,0.01124680868360499,0.01385962139443457,0.44106463878326996,158
soft,1.0071928721411858,136,0,0.0010926806293088606,-0.0020324989667274288,0.0020324989667274288,-1,0.008604591924177877,0.006572092957450448,0.43852978453738906,159
jean,3.0100919860207993,80,0,0.000797933974685074,0.0012229168405743663,0.0012229168405743663,1,0.008447052050280707,0.009669968890855073,0.4321926489226869,160
