feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
elegant,60.00097549491997,5,1,0.002023316533755601,0.00024022906158195113,0.00024022906158195113,1,0.009520277195082342,0.009760506256664293,0.6380208333333334,133
octane render,0.004390762149561493,494,0,0.005000208918026914,0.0033417246679260174,0.0033417246679260174,1,0.012036938854764421,0.015378663522690439,0.63671875,134
fantasy art,0.4576327850299649,326,0,0.0017973370459573896,0.001953146024732194,0.001953146024732194,1,0.002436098814946947,0.004389244839679141,0.6354166666666666,135
eyes,12.023803694632296,72,0,0.0005264673659773546,0.0010809309354957199,0.0010809309354957199,1,0.009142853077610215,0.010223784013105934,0.634765625,136
cinematic lighting,0.22790416765140442,383,0,0.002628269231708406,0.00210143362911567,0.00210143362911567,1,0.007165660263712725,0.009267093892828395,0.634765625,137
mohrbacher,0.17400387162811534,400,0,0.0022413174412947885,0.002372942971213465,0.002372942971213465,1,0.0017416422845860802,0.004114585255799545,0.6321614583333334,138
studio lighting,0.963681733679956,266,0,0.0007518091132050057,0.002034073726629836,0.002034073726629836,1,0.0025229895381057472,0.004557063264735583,0.6295572916666666,139
leyendecker,21.33294839630726,42,0,0.00032534727819054626,0.0011241968787307102,0.0011241968787307102,1,0.0021431199973999176,0.003267316876130628,0.6276041666666666,140
dark,1.0309504971886523,265,0,0.0009547046473189094,0.0017733416211108705,0.0017733416211108705,1,0.012021567306495524,0.013794908927606394,0.6276041666666666,141
ultra,0.22313779244362858,384,0,0.002352248560298943,-0.00198340721219286,0.00198340721219286,-1,0.011471749398808368,0.009488342186615508,0.623046875,142
magali villeneuve,5.035683337142843,126,0,2.391320772057316e-05,0.0023564083678079208,0.0023564083678079208,1,0.0013644195853323771,0.003720827953140298,0.6217447916666666,143
illustration by,0.21476492508924472,386,0,0.001394620353162462,0.0025126976473692415,0.0025126976473692415,1,0.003094277900556328,0.00560697554792557,0.6165364583333334,144
beeple,0.006188855587267401,490,0,0.005372803873245376,0.0023643425751851475,0.0023643425751851475,1,0.0030505907315703227,0.00541493330675547,0.6158854166666666,145
cushart,11.427723931809386,79,0,0.0003658461672056235,-0.0011566861749162235,0.0011566861749162235,-1,0.0029281533011283707,0.0017714671262121472,0.6158854166666666,146
peter mohrbacher,0.17400387162813458,399,0,0.0023356974910859604,0.0020296138816031113,0.0020296138816031113,1,0.0017589730498996498,0.0037885869315027612,0.6145833333333334,147
