item_id,n_W1,n_W2,cmean_l2,mmd2,po_tau2_mean,r_cmean_l2,r_mmd2,r_po_tau2_mean,rank_score,rank,selected
3177541,19,12,9.552170364038343,0.8630759857383262,1.5684226348611093e-07,196.0,307.0,45.0,182.66666666666666,178,1
61717,3,62,21.552495257140997,1.0601485382942526,0.0,52.0,215.0,281.5,182.83333333333334,179,1
597183,7,31,18.3581138066465,0.6540637357634739,1.5325356301120852e-08,64.0,373.0,115.0,184.0,180,1
383114,3,24,11.490404733454202,1.2502399628322287,0.0,137.0,137.0,281.5,185.16666666666666,181,1
4540025,6,39,13.896139284388738,1.1355464761619953,0.0,98.0,176.0,281.5,185.16666666666666,182,1
1748897,3,23,11.21351091773922,1.2213874703671586,0.0,141.0,145.0,281.5,189.16666666666666,183,1
1415450,3,11,8.794854297893915,1.439637779215548,0.0,229.0,61.0,281.5,190.5,184,1
1600606,4,13,10.348582834184345,1.2925952931586684,0.0,168.0,122.0,281.5,190.5,185,1
2942919,3,20,8.744844601688095,1.4554329061774482,0.0,240.0,51.0,281.5,190.83333333333334,186,1
4078937,3,8,8.791536273841267,1.4328812589202127,0.0,231.0,63.0,281.5,191.83333333333334,187,1
3782465,3,13,7.9811203270560505,1.5600037454278777,0.0,280.0,16.0,281.5,192.5,188,1
1053625,5,23,10.663137178556427,1.2446406211638825,0.0,156.0,140.0,281.5,192.5,189,1
1958756,3,18,8.75369594447473,1.4372512756346698,0.0,238.0,62.0,281.5,193.83333333333334,190,1
1592352,8,13,7.650025324502293,1.143194300764601,3.213659796503729e-08,303.0,174.0,106.0,194.33333333333334,191,1
1670704,3,13,8.76826594247283,1.426447014340685,0.0,235.0,67.0,281.5,194.5,192,1
765698,3,46,18.15196967465632,1.0070355558802078,0.0,66.0,237.0,281.5,194.83333333333334,193,1
2024883,3,14,8.09368275158518,1.0520972089217906,3.603210152837259e-08,270.0,219.0,103.0,197.33333333333334,194,1
2296472,4,62,25.03105630719106,0.9195300429005451,0.0,35.0,276.0,281.5,197.5,195,1
366512,3,72,25.323527570138147,0.9139204066626454,0.0,33.0,280.0,281.5,198.16666666666666,196,1
3362630,3,13,8.618288192242611,1.1198539122693643,4.200037138799399e-10,249.0,186.0,160.0,198.33333333333334,197,1
4247564,3,21,9.194281198787442,1.3306667449983787,0.0,211.0,105.0,281.5,199.16666666666666,198,1
2691717,4,8,7.884608412090541,0.9988506709353457,7.991087348267082e-08,287.0,241.0,71.0,199.66666666666666,199,1
1464880,4,47,16.951652184319368,0.9782335234677405,0.0,74.0,246.0,281.5,200.5,200,1
